PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=339 ttl=47 time=314 ms
64 bytes from 141.44.1.1: icmp_seq=340 ttl=47 time=177 ms
64 bytes from 141.44.1.1: icmp_seq=341 ttl=47 time=197 ms
64 bytes from 141.44.1.1: icmp_seq=342 ttl=47 time=294 ms
64 bytes from 141.44.1.1: icmp_seq=343 ttl=47 time=176 ms
64 bytes from 141.44.1.1: icmp_seq=344 ttl=47 time=172 ms
64 bytes from 141.44.1.1: icmp_seq=345 ttl=47 time=293 ms
64 bytes from 141.44.1.1: icmp_seq=346 ttl=47 time=211 ms
64 bytes from 141.44.1.1: icmp_seq=347 ttl=47 time=170 ms
64 bytes from 141.44.1.1: icmp_seq=348 ttl=47 time=191 ms
64 bytes from 141.44.1.1: icmp_seq=349 ttl=47 time=232 ms
64 bytes from 141.44.1.1: icmp_seq=350 ttl=47 time=193 ms
64 bytes from 141.44.1.1: icmp_seq=351 ttl=47 time=170 ms
64 bytes from 141.44.1.1: icmp_seq=352 ttl=47 time=291 ms
64 bytes from 141.44.1.1: icmp_seq=353 ttl=47 time=1778 ms
64 bytes from 141.44.1.1: icmp_seq=354 ttl=47 time=771 ms
64 bytes from 141.44.1.1: icmp_seq=355 ttl=47 time=215 ms
64 bytes from 141.44.1.1: icmp_seq=356 ttl=47 time=193 ms
64 bytes from 141.44.1.1: icmp_seq=357 ttl=47 time=153 ms
64 bytes from 141.44.1.1: icmp_seq=358 ttl=47 time=1373 ms
64 bytes from 141.44.1.1: icmp_seq=359 ttl=47 time=1862 ms
64 bytes from 141.44.1.1: icmp_seq=360 ttl=47 time=5022 ms
64 bytes from 141.44.1.1: icmp_seq=361 ttl=47 time=4562 ms
64 bytes from 141.44.1.1: icmp_seq=362 ttl=47 time=4113 ms
